product,brand,price,oz_per_can,num_cans,price_per_oz,ingredients
Royal Canin Ultra Light Loaf in Sauce Canned Cat Food,Royal Canin,$42.98,5.8,24.0,0.30876436781609196,"['Water Sufficient For Processing', ' Pork By-Products', ' Pork Liver', ' Chicken By-Products', ' Chicken Liver', ' Wheat Gluten', ' Powdered Cellulose', ' Brewers Rice Flour', ' Pork Plasma', ' Gelatin', ' Hydrolyzed Chicken Liver', ' Calcium Sulfate', ' Guar Gum', ' Carrageenan', ' Potassium Chloride', ' Carob Bean Gum', ' Natural Flavors', ' Sodium Tripolyphosphate', ' Taurine', ' Choline Chloride', ' Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E)', ' Thiamine Mononitrate (Vitamin B1)', ' Niacin Supplement', ' Biotin', ' D-Calcium Pantothenate', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Riboflavin Supplement', ' Folic Acid', ' Vitamin B12 Supplement', ' Vitamin D3 Supplement]', ' L-Carnitine', ' Trace Minerals [Zinc Proteinate', ' Zinc Oxide', ' Ferrous Sulfate', ' Copper Sulfate', ' Manganous Oxide', ' Calcium Iodate', ' Sodium Selenite].']"
Sheba Perfect Portions Succulent Salmon & Seafood Entree Pate Grain-Free Cat Food Trays,Sheba,$19.20,2.6,24.0,0.30769230769230765,"['Chicken Broth', ' Chicken', ' Chicken Liver', ' Salmon', ' Tuna', ' Pork Broth Powder', ' Added Color', ' Guar Gum', ' Sodium Tripolyphosphate', ' Potassium Chloride', ' Fish Oil (Preserved with Mixed Tocopherols)', ' Magnesium Sulfate', ' Dl-Methionine', ' Taurine', ' Choline Chloride', ' Salt', ' Thiamine Mononitrate (Vitamin B1)', ' Vitamin E Supplement', ' Zinc Sulfate', ' Ferrous Sulfate', ' Manganese Sulfate', ' Copper Sulfate', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Potassium Iodide', ' Vitamin D3 Supplement', ' Folic Acid', ' Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity).']"
Hill's Science Diet Adult Indoor Ocean Fish Entree Canned Cat Food,Hill's Science Diet,$30.00,5.5,24.0,0.22727272727272727,"['Old Formulation: Water', ' Pork By-Products', ' Ocean Fish', ' Pork Liver', ' Powdered Cellulose', ' Chicken Fat', ' Wheat Flour', ' Corn Starch', ' Whole Grain Corn', ' Chicken Liver Flavor', ' Calcium Sulfate', ' Natural Flavor', ' Locust Bean Gum', ' Soybean Oil', ' Choline Chloride', ' Guar Gum', ' Brewers Dried Yeast', ' L-Lysine', ' DL-Methionine', ' Carrageenan', ' Calcium Carbonate', ' Iodized Salt', ' Dicalcium Phosphate', ' Potassium Chloride', ' Taurine', ' vitamins (Vitamin E Supplement', ' Thiamine Mononitrate', ' Ascorbic Acid (source of Vitamin C)', ' Niacin Supplement', ' Pyridoxine Hydrochloride', ' Calcium Pantothenate', ' Vitamin B12 Supplement', ' Riboflavin Supplement', ' Biotin', ' Folic Acid)', ' minerals (Zinc Oxide', ' Ferrous Sulfate', ' Manganese Sulfate', ' Copper Sulfate', ' Calcium Iodate)', ' Potassium Citrate', ' Iron Oxide color', ' Beta-Carotene.']"
Fancy Feast Marinated Morsels Beef Feast in Gravy Canned Cat Food,Fancy Feast,$14.97,3.0,24.0,0.20791666666666667,"['Meat Broth', ' Meat By-Products', ' Beef', ' Wheat Gluten', ' Fish', ' Corn Starch-Modified', ' Artificial and Natural Flavors', ' Soy Flour', ' Added Color', ' Salt', ' Tricalcium Phosphate', ' Potassium Chloride', ' Taurine', ' Choline Chloride', ' Magnesium Sulfate', ' Mono and Dicalcium Phosphate', ' Thiamine Mononitrate', ' Vitamin E Supplement', ' Zinc Sulfate', ' Ferrous Sulfate', ' Niacin', ' Calcium Pantothenate', ' Vitamin A Supplement', ' Copper Sulfate', ' Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity)', ' Manganese Sulfate', ' Pyridoxine Hydrochloride', ' Riboflavin Supplement', ' Vitamin B-12 Supplement', ' Biotin', ' Folic Acid', ' Vitamin D-3 Supplement', ' Potassium Iodide. B-6940.']"
Blue Buffalo Freedom Indoor Flaked Chicken Recipe Grain-Free Canned Cat Food,Blue Buffalo,$34.99,5.5,24.0,0.2650757575757576,"['Chicken', ' Chicken Broth', ' Water', ' Chicken Liver', ' Dried Egg', ' Potato Starch', ' Natural Flavor', ' Sweet Potatoes', ' Carrots', ' Flaxseed (Source of Omega 3 and 6 Fatty Acids)', ' Cellulose', ' Sodium Phosphate', ' Calcium Carbonate', ' Fish Oil (Source of Omega 3 Fatty Acids)', ' Guar Gum', ' Salt', ' Potassium Chloride', ' Cranberry', ' Blueberry', ' Taurine', ' Carrageenan', ' Choline Chloride', ' Iron Amino Acid Chelate', ' Zinc Amino Acid Chelate', ' Vitamin E Supplement', ' Thiamine Mononitrate (Vitamin B1)', ' Copper Amino Acid Chelate', ' Manganese Amino Acid Chelate', ' Sodium Selenite', ' Niacin Supplement (Vitamin B3)', ' Calcium Pantothenate (Vitamin B5)', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Riboflavin Supplement (Vitamin B2)', ' Vitamin A Supplement', ' Biotin (Vitamin B7)', ' Potassium Iodide', ' Vitamin D3 Supplement', ' Vitamin B12 Supplement', ' Folic Acid (Vitamin B9).']"
Sheba Perfect Portions Grain-Free Multipack Savory Chicken  Beef  Whitefish & Tuna Entree Cat Food Trays,Sheba,$28.80,2.6,36.0,0.30769230769230765,"['Savory Chicken: Chicken', ' Chicken Broth', ' Chicken Liver', ' Poultry By-Products', ' Meat By-Products', ' Guar Gum', ' Minerals (Potassium Chloride', ' Magnesium Sulfate', ' Calcium Carbonate', ' Zinc Sulfate', ' Iron Sulfate', ' Manganese Sulfate', ' Potassium Iodide', ' Copper Sulfate)', ' Added Color', ' Sodium Tripolyphosphate', ' Fish Oil (Preserved with Mixed Tocopherols)', ' Vitamins (Choline Chloride', ' Thiamine Mononitrate [Vitamin B1]', ' Vitamin E Supplement', ' Pyridoxine Hydrochloride [Vitamin B6]', ' Vitamin D3 Supplement', ' Folic Acid', ' Menadione Sodium Bisulfite Complex [Source of Vitamin K Activity])', ' DL-Methionine', ' Salt', ' Taurine.']"
Purina Beyond Wild Prey-Inspired Salmon  Liver & Arctic Char Recipe Canned Cat Food,Purina Beyond,$15.19,3.0,12.0,0.42194444444444446,"['Salmon', ' Chicken', ' Chicken Liver', ' Liver', ' Salmon Broth', ' Arctic Char', ' Chicken Heart', ' Carrots', ' Egg Product', '\nEssential Nutrients And Other Ingredients: Minerals (Potassium Chloride', ' Salt', ' Zinc Sulfate', ' Ferrous Sulfate', ' Calcium Carbonate', ' Manganese Sulfate', ' Copper Sulfate', ' Potassium Iodide)', ' Guar Gum', ' Vitamins (Choline', ' Vitamin B-1', ' Vitamin E', ' Vitamin B-3', ' Vitamin B-5', ' Vitamin A', ' Vitamin B-6', ' Vitamin B-2', ' Vitamin B-12', ' Vitamin K', ' Folic Acid', ' Vitamin D-3)', ' Taurine. A429917']"
Nature's Variety Pride by Instinct Grain-Free Minced Titan's Tuna Recipe Wet Canned Cat Food,Nature's Variety,$29.28,3.0,24.0,0.4066666666666667,"['Fish Broth', ' Tuna', ' Pork Liver', ' Pork', ' Peas', ' Egg Whites', ' Spinach', ' Carrots', ' Eggs', ' Ground Flaxseed', ' Sunflower Oil', ' Montmorillonite Clay', ' Natural Flavor', ' Guar Gum', ' Sodium Phosphate', ' Calcium Carbonate', ' Tricalcium Phosphate', ' Salt', ' Potassium Chloride', ' Dried Kelp', ' Minerals (Iron Proteinate', ' Zinc Proteinate', ' Copper Proteinate', ' Manganese Proteinate', ' Sodium Selenite', ' Potassium Iodide)', ' Choline Chloride', ' Vitamins (Vitamin E Supplement', ' Thiamine Mononitrate', ' Niacin Supplement', ' d-Calcium Pantothenate', ' Pyridoxine Hydrochloride', ' Riboflavin Supplement', ' Vitamin A Supplement', ' Biotin', ' Vitamin D3 Supplement', ' Vitamin B12 Supplement', ' Folic Acid)', '    Taurine', ' L-Ascorbyl-2-Polyphosphate', ' Artichokes', ' Cranberries', ' Pumpkin', ' Tomato', ' Blueberries', ' Broccoli', ' Cabbage', ' Kale', ' Parsley']"
Solid Gold Flavorful Feast Indoor Recipe with Chicken Pate Grain-Free Canned Cat Food,Solid Gold,$16.68,3.0,12.0,0.4633333333333333,"['Chicken', ' Water Sufficient For Processing', ' Tuna', ' Dried Egg Product', ' Apple', ' Modified Tapioca Starch', ' Natural Flavors', ' Carrots', ' Pumpkin', ' Spinach', ' Fructooligosaccharide', ' Guar Gum', ' Calcium Sulfate', ' Salt', ' Tricalcium Phosphate', ' Potassium Chloride', ' Zinc Oxide', ' Reduced Iron', ' Vitamin E Supplement', ' Thiamine Mononitrate', ' Sodium Selenite', ' Manganese Sulfate Monohydrate', ' Niacin Supplement', ' Vitamin A Supplement', ' Copper Glycine Complex', ' Pyridoxine Hydrochloride', ' Calcium Pantothenate', ' Riboflavin Supplement', ' Potassium Iodide', ' Folic Acid', ' Vitamin B12 Supplement', ' Vitamin D3 Supplement', ' Biotin Supplement.']"
Dr. Elsey's cleanprotein Turkey Formula Grain-Free Canned Cat Food,Dr. Elsey's,$42.96,5.5,24.0,0.32545454545454544,"['Turkey', ' Turkey Broth', ' Turkey Liver', ' Dried Egg Product', ' Natural Flavor', ' Potassium Chloride', ' Agar-Agar', ' Barley Grass', ' Choline Chloride', ' Salt', ' Taurine', ' Salmon Oil', ' Turmeric', ' Dried New Zealand Green Mussels', ' Zinc Proteinate', ' Iron Proteinate', ' Magnesium Proteinate', ' Niacin Supplement', ' Vitamin E Supplement', ' Copper Proteinate', ' Sodium Selenite', ' Thiamine Mononitrate', ' Manganese Proteinate', ' Vitamin A Supplement', ' Calcium Pantothenate', ' Riboflavin Supplement', ' Pyridoxine Hydrochloride', ' Biotin', ' Vitamin D3 Supplement', ' Vitamin B12 Supplement', ' Ethylenediamine Dihydroiodide', ' Folic Acid.']"
Purina Pro Plan Savor Adult Beef  Carrots & Rice Entree in Gravy Canned Cat Food,Purina Pro Plan,$23.28,3.0,24.0,0.32333333333333336,"['Water Sufficient for Processing', ' Beef', ' Liver', ' Wheat Gluten', ' Carrots', ' Meat By-Products', ' Rice', ' Fish', ' Corn Starch-Modified', ' Artificial and Natural Flavors', ' Soy Flour', ' Salt', ' Calcium Phosphate', ' Added Color', ' Potassium Chloride', ' Taurine', ' Choline Chloride', ' Vitamin E Supplement', ' Thiamine Mononitrate', ' Zinc Sulfate', ' Ferrous Sulfate', ' Niacin', ' Calcium Pantothenate', ' Vitamin A Supplement', ' Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity)', ' Copper Sulfate', ' Pyridoxine Hydrochloride', ' Manganese Sulfate', ' Riboflavin Supplement', ' Vitamin B-12 Supplement', ' Biotin', ' Folic Acid', ' Vitamin D-3 Supplement', ' Potassium Iodide.']"
Wellness Healthy Indulgence Morsels with Chicken & Turkey in Savory Sauce Grain-Free Wet Cat Food Pouches,Wellness,$31.68,3.0,24.0,0.44,"['Chicken Broth', ' Water Sufficient for Processing', ' Chicken', ' Turkey', ' Potato Starch', ' Eggs', ' Carrots', ' Chicken Liver', ' Natural Flavor', ' Salt', ' Guar Gum', ' Tricalcium Phosphate', ' Potassium Chloride', ' Taurine', ' Magnesium Sulfate', ' Vitamins [Vitamin E Supplement', ' Thiamine Hydrochloride', ' Niacin', ' Vitamin A Supplement', ' Pyridoxine Hydrochloride', ' D-Calcium Pantothenate', ' Riboflavin Supplement', ' Folic Acid', ' Vitamin D3 Supplement', ' Biotin', ' Vitamin B12 Supplement]', ' Cranberries', ' Blueberries', ' White Sweet Potatoes', ' Xanthan Gum', ' Choline Chloride', ' Zinc Amino Acid Chelate', ' Iron Amino Acid Chelate', ' Manganese Amino Acid Chelate', ' Copper Amino Acid Chelate', ' Potassium Iodide', ' Sodium Selenite.']"
Crave Chicken & Beef Pate Grain-Free Cat Food Trays,Crave,$26.16,2.6,24.0,0.4192307692307692,"['Chicken', ' Chicken Liver', ' Pork Broth', ' Chicken Broth', ' Chicken Heart', ' Beef', ' Natural Flavor', ' Guar Gum', ' Potassium Chloride', ' Fish Oil (preserved with Mixed Tocopherols)', ' Carrageenan', ' Sodium Acid Pyrophosphate', ' Magnesium Sulfate', ' Calcium Carbonate', ' Tetrasodium Pyrophosphate', ' Tapioca Starch', ' Salt', ' Choline Chloride', ' Sodium Hexametaphosphate', ' Taurine', ' Caramel Color', ' Thiamine Mononitrate (Vitamin B1)', ' Vitamin E Supplement', ' Zinc Sulfate', ' Ferrous Sulfate', ' Manganese Sulfate', ' Potassium Iodide', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Copper Sulfate', ' Vitamin D3 Supplement', ' Folic Acid', ' Menadione Sodium Bisulfite Complex (source of Vitamin K Activity).']"
AvoDerm Natural Chicken Formula Canned Cat Food,AvoDerm,$34.19,5.5,24.0,0.2590151515151515,"['Chicken', ' Chicken Broth', ' Chicken Liver', ' Ocean Fish', ' Turkey', ' Oat Bran', ' Rice Flour', ' Avocado Oil', ' Guar Gum', ' Potassium Chloride', ' Salt', ' Taurine', ' Carrageenan', ' Ferrous Sulfate', ' Vitamin E Supplement', ' Choline Chloride', ' Zinc Oxide', ' Thiamine Mononitrate (Source of Vitamin B1)', ' Copper Proteinate', ' Niacin', ' D-Calcium Pantothenate', ' Vitamin A Supplement', ' Vitamin D3 Supplement', ' Pyridoxine Hydrochloride (Source of Vitamin B6)', ' Potassium Iodide', ' Manganous Sulfate', ' Riboflavin Supplement (Source of Vitamin B Complex)', ' Vitamin B12 Supplement', ' Folic Acid', ' Sodium Selenite', ' Biotin.']"
Halo Turkey & Giblets Recipe Grain-Free Indoor Cat Canned Cat Food,Halo,$22.85,5.5,12.0,0.34621212121212125,"['Old Formulation: Turkey', ' Turkey Broth', ' Turkey Liver', ' Carrots', ' Spinach', ' Tricalcium Phosphate', '  Natural Flavor', ' Sweet Potatoes', ' Guar Gum', ' Dehydrated Alfalfa Meal', ' Carrageenan', ' Potassium Chloride', ' Cranberries', ' Salt', ' Calcium Carbonate', ' Minerals (Iron  Amino Acid Chelate', ' Zinc Amino Acid Chelate', ' Copper Amino Acid Chelate', ' Manganese Amino Acid Chelate', ' Sodium Selenite', ' Potassium Iodide)', ' Vitamins (Vitamin E Supplement', ' Thiamine Mononitrate', ' Niacin Supplement', ' D-Calcium Pantothenate', ' Pyridoxine Hydrochloride', ' Riboflavin Supplement', ' Vitamin A Supplement', ' Biotin', ' Vitamin D3 Supplement', ' Vitamin B12 Supplement', ' Folic Acid)', ' Choline Chloride', ' Taurine', '  Magnesium Sulfate.']"
Purina Pro Plan Savor Adult Chicken Entrée with Tomatoes Braised in Gravy Canned Cat Food,Purina Pro Plan,$23.28,3.0,24.0,0.32333333333333336,"['Water Sufficient for Processing', ' Chicken', ' Liver', ' Wheat Gluten', ' Meat By Products', ' Tomatoes', ' Corn Starch Modified', ' Artificial and Natural Flavors', ' Salt', ' Calcium Phosphate', ' Soy Protein Concentrate', ' Corn Oil', ' Potassium Chloride', ' Added Color', ' Taurine', ' Choline Chloride', ' Vitamin E Supplement', ' Thiamine Mononitrate', ' Zinc Sulfate', ' Ferrous Sulfate', ' Niacin', ' Calcium Pantothenate', ' Vitamin A Supplement', ' Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity)', ' Copper Sulfate', ' Manganese Sulfate', ' Pyridoxine Hydrochloride', ' Riboflavin Supplement', ' Vitamin B 12 Supplement', ' Biotin', ' Folic Acid', ' Vitamin D 3 Supplement', ' and Potassium Iodide.']"
Hill's Science Diet Adult 7+ Youthful Vitality Salmon & Vegetable Stew Canned Cat Food,Hill's Science Diet,$26.64,2.9,24.0,0.3827586206896552,"['Chicken Broth', ' Salmon', ' Chicken', ' Pork Liver', ' Carrots', ' Turkey Giblets', ' Rice', ' Wheat Gluten', ' Pea Protein', ' Rice Starch', ' Chicken Fat', ' Spinach', ' Chicken Liver Flavor', ' Potassium Alginate', ' Powdered Cellulose', ' L-Lysine', ' Soybean Oil', ' Calcium Chloride', ' Natural Flavor', ' Dried Tomato Pomace', ' Choline Chloride', ' Guar Gum', ' Dicalcium Phosphate', ' vitamins (Vitamin E Supplement', ' Thiamine Mononitrate', ' Niacin Supplement', ' Vitamin A Supplement', ' Calcium Pantothenate', ' Ascorbic Acid (source of Vitamin C)', ' Vitamin B12 Supplement', ' Biotin', ' Pyridoxine Hydrochloride', ' Riboflavin Supplement', ' Folic Acid', ' Menadione Sodium Bisulfite Complex (source of Vitamin K)', ' Vitamin D3 Supplement)', ' Sodium Tripolyphosphate', ' Calcium Lactate', ' Calcium Gluconate', ' Taurine', ' Broccoli', ' Potassium Citrate', ' DL-Methionine', ' minerals (Zinc Oxide', ' Ferrous Sulfate', ' Manganese Sulfate', ' Copper Sulfate', ' Calcium Iodate)', ' L-Carnitine', ' Magnesium Oxide', ' Natural Flavors', ' Beta-Carotene.']"
Hound & Gatos Chicken & Chicken Liver Formula Grain-Free Canned Cat Food,Hound & Gatos,$42.99,5.5,24.0,0.3256818181818182,"['Chicken', ' Chicken Broth', ' Chicken Liver', ' Calcium Carbonate', ' Agar-Agar', ' Potassium Chloride', ' Choline Chloride', ' Salt', ' Taurine', ' Salmon Oil', ' Iron Proteinate', ' Zinc Proteinate', ' Manganese Proteinate', ' Copper Proteinate', ' Magnesium Proteinate', ' Sodium Selenite', ' Calcium Iodate', ' Thiamine Mononitrate', ' Niacin Supplement', ' Vitamin E Supplement', ' Calcium Pantothenate', ' Pyridoxine Hydrochloride', ' Riboflavin Supplement', ' Biotin', ' Vitamin A Supplement', ' Vitamin B12 Supplement', ' Vitamin D3 Supplement', ' Folic Acid.']"
Weruva Grandma's Chicken Soup with Chicken & Pumpkin Grain-Free Canned Cat Food,Weruva,$47.76,5.5,24.0,0.3618181818181818,"['Chicken Broth', ' Chicken (Boneless', ' Skinless Breast)', ' Pumpkin', ' Carrot', ' Pea', ' Tapioca Starch', ' Sunflower Seed Oil', ' Calcium Lactate', ' Xanthan Gum', ' Tricalcium Phosphate', ' Choline Chloride', ' Taurine', ' Zinc Sulfate', ' Vitamin E Supplement', ' Ferrous Sulfate', ' Nicotinic Acid (Vitamin B3)', ' Calcium Pantothenate', ' Thiamine Mononitrate (Vitamin B1)', ' Copper Sulfate', ' Riboflavin Supplement (Vitamin B2)', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Vitamin A Supplement', ' Manganese Sulfate', ' Vitamin D3 Supplement', ' Folic Acid', ' Potassium Iodide', ' Sodium Selenite', ' Biotin', ' Vitamin B12 Supplement.']"
Miko Whole Ingredient Chicken Recipe in Consommé Grain-Free Canned Cat Food,Miko,$12.99,3.0,12.0,0.36083333333333334,"['Chicken', ' Chicken Broth', ' Sunflower Oil', ' Potassium Chloride', ' Tricalcium Phosphate', ' Sodium Acid Pyrophosphate', ' Magnesium Sulfate', ' Choline Chloride', ' Taurine', ' Salt', ' Vitamin E Supplement', ' Zinc Oxide', ' Reduced Iron', ' Thiamine Mononitrate', ' Niacin Supplement', ' Sodium Selenite', ' Vitamin A Supplement', ' Manganese Sulfate Monohydrate', ' Copper Glycine Complex', ' Pyridoxine Hydrochloride', ' Calcium Pantothenic', ' Riboflavin Supplement', ' Folic Acid', ' Vitamin B12 Supplement', ' Potassium Iodide', ' Vitamin D3 Supplement', ' Biotin Supplement.']"
Purina Pro Plan Adult True Nature Natural Beef & Giblets Entree Grain-Free Canned Cat Food,Purina Pro Plan,$23.28,3.0,24.0,0.32333333333333336,"['Beef', ' Chicken', ' Liver', ' Meat By-Products', ' Water Sufficient for Processing', ' Poultry Livers', ' Poultry Hearts', ' Natural Flavor', ' Guar Gum', ' Potassium Chloride', ' Taurine', ' Salt', ' Choline Chloride', ' Vitamin E Supplement', ' Mono and Dicalcium Phosphate', ' Thiamine Mononitrate', ' Zinc Sulfate', ' Ferrous Sulfate', ' Niacin', ' Calcium Pantothenate', ' Vitamin A Supplement', ' Copper Sulfate', ' Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity)', ' Manganese Sulfate', ' Pyridoxine Hydrochloride', ' Riboflavin Supplement', ' Vitamin B-12 Supplement', ' Biotin', ' Folic Acid', ' Vitamin D-3 Supplement', ' Potassium Iodide.']"
Tiki Cat Bora Bora Grill Sardine Cutlets in Lobster Consomme Grain-Free Canned Cat Food,Tiki Cat,$11.88,2.8,12.0,0.35357142857142865,"['Sardines', ' Lobster Broth', ' Sunflower Seed Oil', ' Locust Bean Gum', ' Guar Gum', ' Choline Chloride', ' Xanthan Gum', ' Paprika', ' Taurine', ' Vitamin E Supplement', ' Zinc Sulfate', ' Iron Sulfate', ' Niacin (Vitamin B3)', ' Thiamine Mononitrate (Vitamin B1)', ' Calcium Pantothenate', ' Manganese Sulfate', ' Potassium Iodide', ' Vitamin A Supplement', ' Riboflavin Supplement (Vitamin B2)', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Copper Sulfate', ' Folic Acid', ' Vitamin D3 Supplement', ' Vitamin B12 Supplement.']"
Weruva Cats in the Kitchen Splash Dance Chicken & Ocean Fish Au Jus Grain-Free Canned Cat Food,Weruva,$44.99,6.0,24.0,0.31243055555555554,"['Chicken Broth', ' Chicken', ' Ocean Fish', ' Tuna', ' Locust Bean Gum', ' Sunflower Seed Oil', ' Guar Gum', ' Fish Oil', ' Xanthan Gum', ' Potassium Chloride', ' Choline Chloride', ' Tricalcium Phosphate', ' Taurine', ' Zinc Sulfate', ' Vitamin E Supplement', ' Nicotinic Acid (Vitamin B3)', ' Thiamine Mononitrate (Vitamin B1)', ' Calcium Pantothenate', ' Vitamin A Supplement', ' Manganese Sulfate', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Riboflavin Supplement (Vitamin B2)', ' Ferrous Sulfate', ' Copper Sulfate', ' Vitamin D3 Supplement', ' Folic Acid', ' Potassium Iodide', ' Menadione Sodium Bisulfite Complex (Source of Vitamin K)', ' Biotin', ' Vitamin B12 Supplement.']"
Tiki Cat Velvet Mousse Chicken Grain-Free Wet Cat Food,Tiki Cat,$17.17,2.8,12.0,0.511011904761905,"['Chicken', ' Chicken Broth', ' Dried Egg', ' Sunflower Oil', ' Tricalcium Phosphate', ' Xanthan Gum', ' Potassium Chloride', ' Choline Chloride', ' Magnesium Sulfate', ' Taurine', ' Zinc Amino Acid Chelate', ' Iron Amino Acid Chelate', ' Vitamin E Supplement', ' Ascorbic Acid (Source Of Vitamin C)', ' Thiamine Mononitrate (Vitamin B1)', ' Niacin (Vitamin B3)', ' Manganese Amino Acid Chelate', ' Vitamin A Supplement', ' Copper Amino Acid Chelate', ' Calcium Iodate', ' Calcium Pantothenate', ' Sodium Selenite', ' Riboflavin Supplement (Vitamin B2)', ' Vitamin B12 Supplement', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Folic Acid', ' Vitamin D3 Supplement', ' Biotin', ' Vitamin K3 Supplement.']"
Triumph Chicken 'N Liver Formula Canned Cat Food,Triumph,$15.99,3.2,12.0,0.4164062499999999,"['Chicken', ' Water Sufficient for Processing', ' Pork Liver', ' Ocean Fish', ' Rice Flour', ' Dried Egg Product', ' Guar Gum', ' Potassium Chloride', ' Salt', ' Minerals (Ferrous Sulfate', ' Zinc Oxide', ' Copper Proteinate', ' Manganous Sulfate', ' Potassium Iodide', ' Sodium Selenite)', ' Vitamins (Vitamin E', ' A', ' D3', ' B12 Supplements', ' Thiamine Mononitrate', ' Niacin', ' D-Calcium Pantothenate', ' Pyridoxine Hydrochloride', ' Riboflavin Supplement', ' Folic Acid', ' Biotin)', ' Choline Chloride', ' Carrageenan', ' Taurine.']"
Royal Canin Veterinary Diet Satiety Support Weight Management Morsels in Gravy Canned Cat Food,Royal Canin Veterinary Diet,$36.09,3.0,24.0,0.5012500000000001,"['Water Sufficient For Processing', ' Chicken By-Products', ' Pork By-Products', ' Pork Liver', ' Brewers Rice Flour', ' Pork Plasma', ' Powdered Cellulose', ' Modified Corn Starch', ' Egg Product', ' Natural Flavors', ' Calcium Carbonate', ' Sodium Tripolyphosphate', ' Guar Gum', ' Taurine', ' Potassium Chloride', ' Calcium Sulfate', ' Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E)', ' L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C)', ' Thiamine Mononitrate (Vitamin B1)', ' Niacin Supplement', ' Biotin', ' D-Calcium Pantothenate', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Riboflavin Supplement', ' Folic Acid', ' Vitamin B12 Supplement', ' Vitamin D3 Supplement]', ' L-Carnitine', ' Trace Minerals [Zinc Proteinate', ' Zinc Oxide', ' Ferrous Sulfate', ' Copper Sulfate', ' Manganous Oxide', ' Sodium Selenite', ' Calcium Iodate]', ' Marigold Extract (Tagetes Erecta L.)', ' Glucosamine Hydrochloride', ' Chondroitin Sulfate.']"
BFF OMG Best Day Eva! Beef & Salmon Dinner in Gravy Grain-Free Canned Cat Food,BFF,$12.79,5.5,8.0,0.29068181818181815,"['Beef Broth', ' Beef', ' Tuna', ' Salmon', ' Natural Flavor', ' Potato Starch', ' Guar Gum', ' Choline Chloride', ' Taurine', ' Zinc Sulfate', ' Vitamin E Supplement', ' Thiamine Mononitrate (Vitamin B1)', ' Niacin Supplement (Vitamin B3)', ' Calcium Pantothenate', ' Vitamin A Supplement', ' Manganese Sulfate', ' Riboflavin Supplement (Vitamin B2)', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Ferrous Sulfate', ' Copper Sulfate', ' Vitamin D3 Supplement', ' Folic Acid', ' Vitamin B12 Supplement', ' Potassium Iodide', ' Menadione Sodium Bisulfite Complex (Source of Vitamin K).']"
Natural Balance Ultra Premium Turkey & Giblets Formula Canned Cat Food,Natural Balance,$38.20,5.5,24.0,0.2893939393939394,"['Turkey', ' Turkey Broth', ' Poultry Giblets', ' Dried Carrots', ' Brown Rice', ' Natural Flavor', ' Dicalcium Phosphate', ' Salmon Meal', ' Vitamins (Vitamin E Supplement', ' Thiamine Mononitrate', ' Niacin', ' Vitamin A Supplement', ' Pyridoxine Hydrochloride', ' D-Calcium Pantothenate', ' Riboflavin Supplement', ' Vitamin D3 Supplement', ' Vitamin B12 Supplement', ' Folic Acid', ' Biotin)', ' Minerals (Zinc Proteinate', ' Zinc Sulfate', ' Ferrous Sulfate', ' Iron Proteinate', ' Copper Sulfate', ' Copper Proteinate', ' Manganese Sulfate', ' Manganese Proteinate', ' Calcium Iodate', ' Sodium Selenite)', ' Guar Gum', ' Taurine', ' Potassium Chloride', ' Salt', ' Calcium Carbonate', ' Cranberries', ' Dl-Methionine', ' Carrageenan', ' Choline Chloride.']"
Iams Perfect Portions Healthy Adult Salmon Recipe Pate Grain-Free Cat Food Trays,Iams,$22.32,2.6,24.0,0.35769230769230764,"['Chicken Broth', ' Chicken', ' Salmon', ' Chicken Liver', ' Dried Egg Product', ' Added Color', ' Calcium Carbonate', ' Guar Gum', ' Potassium Chloride', ' Sodium Tripolyphosphate', ' Fish Oil (Preserved with Mixed Tocopherols)', ' Magnesium Sulfate', ' Taurine', ' Choline Chloride', ' Salt', ' DL-Methionine', ' Thiamine Mononitrate (Vitamin B1)', ' Vitamin E Supplement', ' Zinc Sulfate', ' Ferrous Sulfate', ' Manganese Sulfate', ' Potassium Iodide', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Copper Sulfate', ' Vitamin D3 Supplement', ' Folic Acid', ' Menadione Sodium Bisulfite Complex (Vitamin K).']"
